claim_id,worker_id,policy_id,plan_tier,weekly_premium,activation_date,last_active_date,policy_status,eligibility_flag,events_used,events_remaining,renewal_count,trigger_type,trigger_level,trigger_value,claim_timestamp,claim_auto_created,claim_valid_flag,payout_status,payout_timestamp,payout_amount,income_loss,gps_lat,gps_lng,cell_tower_id,gps_tower_delta,accelerometer_variance,claim_response_time_sec,app_interaction_count,fraud_score,fraud_flag,fraud_reason
90039,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,15,15,2,flood,L3,35.4,2024-06-12 17:33:00,1,1,no_claim,,0.0,171.1,17.354575,78.220883,TW9469,63.5,14.581,759.0,24,0.1188,0,normal
90040,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,16,14,2,heat,L2,39.6,2024-03-01 10:56:00,0,1,paid,2024-03-01 13:36:00,560.2,80.5,17.284743,78.662755,TW8464,75.4,24.329,1175.3,42,0.4472,0,abnormal_behavior
90041,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,17,13,2,road_closure,L3,51.8,2024-01-31 06:10:00,0,1,rejected,,0.0,90.8,17.456238,78.4888,TW5532,1.4,3.236,373.1,16,0.6895,1,abnormal_behavior
90042,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,1,29,4,outage,L2,1.0,2024-01-22 08:58:00,0,1,no_claim,,0.0,504.6,17.401725,78.439244,TW6688,83.1,59.687,284.5,15,0.1541,0,normal
90043,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,2,28,4,flood,L3,28.5,2024-02-04 09:37:00,0,1,paid,2024-02-04 10:36:00,540.4,520.8,17.420203,78.372627,TW6059,36.9,71.92,581.7,36,0.1816,0,abnormal_behavior
90044,4,20004,Basic,49,2024-01-01,2024-07-18,expired,1,3,27,4,outage,L2,1.0,2024-02-14 15:18:00,0,1,under_review,2024-02-14 16:00:00,0.0,709.1,17.245855,78.551475,TW9833,40.2,78.409,838.4,4,0.1508,0,normal
90045,4,20004,Basic,49,2024-01-01,2024-07-18,expired,1,4,26,4,outage,L2,1.0,2024-07-11 09:50:00,1,1,under_review,2024-07-11 12:06:00,0.0,699.7,17.463187,78.421225,TW5335,2.7,35.218,586.1,14,0.1299,0,normal
90046,4,20004,Basic,49,2024-01-01,2024-07-18,expired,1,5,25,4,rainfall,L2,5.8,2024-02-20 12:24:00,1,1,no_claim,,0.0,116.0,17.047181,78.382317,TW7682,38.8,13.089,1077.4,27,0.1582,0,normal
90047,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,6,24,4,rainfall,L2,8.1,2024-02-17 12:03:00,1,1,paid,2024-02-17 14:43:00,484.5,409.0,17.273659,78.45997,TW6130,70.8,58.436,103.9,46,0.4372,0,normal
90048,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,7,23,4,heat,L2,40.7,2024-01-26 03:17:00,0,1,no_claim,,0.0,521.9,17.370685,78.346253,TW8374,252.5,53.48,178.8,36,0.4223,0,normal
90049,4,20004,Basic,49,2024-01-01,2024-07-18,expired,1,8,22,4,rainfall,L3,25.1,2024-06-11 11:37:00,1,1,under_review,2024-06-11 11:51:00,0.0,294.1,17.47836,78.670465,TW9352,229.3,48.761,584.8,38,0.3355,0,normal
90050,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,9,21,4,rainfall,L3,35.0,2024-02-01 07:04:00,0,1,paid,2024-02-05 12:44:00,505.2,450.5,17.303568,78.352871,TW7805,74.4,3.714,1033.2,37,0.0399,0,normal
90051,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,10,20,4,flood,L3,33.5,2024-05-18 17:18:00,0,1,paid,2024-05-18 17:59:00,174.4,396.6,17.520694,78.494592,TW5126,63.1,73.52,409.6,31,0.01,0,normal
90052,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,11,19,4,flood,L3,29.2,2024-01-20 01:38:00,1,1,paid,2024-01-22 16:05:00,531.7,503.4,17.286871,78.528782,TW7280,56.5,57.466,144.9,7,0.01,0,normal
90053,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,12,18,4,outage,L2,1.0,2024-03-31 00:58:00,1,1,no_claim,,0.0,445.4,17.308688,78.424671,TW3517,20.7,71.909,511.4,2,0.3688,0,normal
90054,4,20004,Basic,49,2024-01-01,2024-07-18,expired,1,13,17,4,strike,L1,1.0,2024-04-14 18:48:00,0,1,rejected,2024-04-14 18:58:00,0.0,452.2,17.38629,78.395933,TW2709,4.7,20.463,701.7,18,0.6892,1,abnormal_behavior
90055,4,20004,Basic,49,2024-01-01,2024-07-18,expired,0,14,16,4,rainfall,L1,0.0,2024-03-09 16:19:00,1,1,paid,2024-03-09 16:45:00,489.4,418.9,17.40265,78.529051,TW5072,33.8,75.367,74.0,3,0.1316,0,normal
90056,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,1,29,0,flood,L3,26.0,2024-02-14 16:08:00,0,1,pending,,0.0,763.0,19.003574,73.057586,TW5209,9.4,7.21,315.7,13,0.9042,1,abnormal_behavior
90057,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,2,28,0,flood,L3,26.6,2024-02-19 08:53:00,0,1,no_claim,,0.0,446.5,19.213883,72.792409,TW5915,181.9,40.714,606.4,53,0.2141,0,normal
90058,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,3,27,0,flood,L3,49.8,2024-05-22 14:34:00,1,1,paid,2024-05-22 15:19:00,618.4,196.8,18.946673,72.989875,TW5078,51.4,67.289,1115.8,2,0.037,0,normal
90059,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,4,26,0,road_closure,L1,43.4,2024-06-18 13:53:00,1,1,paid,2024-06-18 14:48:00,1052.2,1064.4,19.061369,72.64583,TW8949,6.8,30.509,1175.3,20,0.0179,0,normal
90060,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,5,25,0,outage,L2,1.0,2024-01-22 08:54:00,1,1,paid,2024-01-25 05:14:00,1055.6,1071.2,19.046503,72.760056,TW6935,13.5,17.275,1016.8,50,0.1758,0,abnormal_behavior
90061,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,6,24,0,road_closure,L3,34.1,2024-06-11 10:23:00,0,1,pending,,0.0,214.0,19.029887,72.721951,TW4608,270.6,75.31,958.4,8,0.6903,1,abnormal_behavior
90062,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,7,23,0,strike,L1,1.0,2024-02-23 17:23:00,0,1,pending,,0.0,518.5,18.998549,72.983144,TW2656,93.5,4.161,1187.4,17,0.8662,1,velocity_violation
90063,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,8,22,0,rainfall,L3,49.9,2024-06-24 02:11:00,1,1,paid,2024-06-24 05:04:00,132.9,403.1,19.033772,72.746159,TW3239,60.7,63.333,971.0,14,0.0939,0,normal
90064,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,9,21,0,flood,L3,44.2,2024-04-30 04:36:00,0,1,no_claim,,0.0,309.4,18.942416,72.696393,TW8187,46.5,7.857,790.5,47,0.01,0,normal
90065,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,10,20,0,rainfall,L3,25.9,2024-05-10 02:01:00,1,1,paid,2024-05-10 04:58:00,1171.0,1302.0,19.042301,73.019857,TW2137,38.6,51.94,813.8,47,0.0758,0,normal
90066,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,11,19,0,road_closure,L1,44.4,2024-01-11 10:19:00,0,1,no_claim,,0.0,321.1,18.920948,72.85575,TW5883,28.9,23.472,1086.7,5,0.01,0,normal
90067,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,12,18,0,rainfall,L3,22.8,2024-04-22 07:22:00,1,1,pending,,0.0,474.7,19.189137,72.913872,TW4920,50.6,72.912,384.4,20,0.4526,0,abnormal_behavior
90068,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,13,17,0,rainfall,L3,29.8,2024-05-06 03:28:00,0,1,pending,,0.0,421.2,19.128476,72.717167,TW5111,38.2,68.389,105.9,21,0.0602,0,normal
90069,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,14,16,0,aqi,L2,231.0,2024-01-23 01:17:00,0,1,no_claim,,0.0,188.4,19.002271,72.958618,TW3847,63.3,74.919,641.0,26,0.0722,0,normal
90070,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,15,15,0,flood,L3,34.7,2024-06-15 06:04:00,0,1,pending,,0.0,455.3,19.182362,72.845287,TW6092,26.4,26.697,317.7,55,0.092,0,normal
90071,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,16,14,0,flood,L3,30.8,2024-04-03 04:19:00,1,1,paid,2024-04-03 04:58:00,939.6,839.3,18.995988,72.827909,TW4175,195.8,18.858,639.6,52,0.1304,0,normal
90072,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,17,13,0,aqi,L1,142.0,2024-07-12 05:48:00,0,1,no_claim,,0.0,448.4,18.808217,72.893991,TW7636,89.9,4.855,213.7,22,0.4314,0,abnormal_behavior
90073,5,20005,Standard,79,2024-01-01,2024-07-18,active,1,18,12,0,rainfall,L2,12.0,2024-04-06 16:11:00,1,1,no_claim,,0.0,477.6,19.083074,72.872863,TW6303,67.1,57.181,240.0,18,0.3563,0,abnormal_behavior
90074,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,1,29,2,rainfall,L3,33.3,2024-05-28 03:47:00,0,1,paid,2024-05-28 04:57:00,583.1,126.2,18.568444,73.870295,TW6119,49.3,72.962,1192.0,56,0.0785,0,normal
90075,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,2,28,2,rainfall,L1,4.7,2024-02-18 04:14:00,1,1,no_claim,,0.0,464.1,18.496601,73.867925,TW9392,76.5,12.044,994.1,57,0.8695,1,device_anomaly
90076,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,3,27,2,rainfall,L2,8.9,2024-05-22 15:05:00,0,1,no_claim,,0.0,138.9,18.424474,73.800632,TW3731,59.7,18.809,1079.0,54,0.2103,0,normal
90077,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,4,26,2,flood,L3,41.3,2024-02-09 14:41:00,0,1,paid,2024-02-09 15:07:00,743.8,447.6,18.50414,73.858481,TW6115,81.3,15.728,582.2,18,0.0687,0,normal
90078,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,5,25,2,rainfall,L2,15.9,2024-06-17 05:05:00,1,1,paid,2024-06-17 07:07:00,663.0,286.0,18.573336,73.91749,TW9031,40.7,27.114,701.4,52,0.5425,0,abnormal_behavior
90079,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,6,24,2,flood,L3,33.4,2024-05-11 07:43:00,0,1,rejected,,0.0,863.9,18.575712,73.739158,TW7834,38.1,78.986,1074.5,40,0.8663,1,velocity_violation
90080,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,7,23,2,flood,L3,0.0,2024-03-15 07:13:00,1,1,paid,2024-03-21 20:37:00,699.0,358.1,18.825282,73.925631,TW4337,278.3,27.614,117.2,37,0.1725,0,normal
90081,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,8,22,2,rainfall,L3,31.1,2024-01-18 18:11:00,1,1,pending,,0.0,60.4,18.377285,73.879663,TW5870,297.4,19.28,374.6,2,0.1114,0,normal
90082,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,9,21,2,flood,L3,26.8,2024-05-25 07:58:00,1,1,paid,2024-05-25 10:01:00,658.4,276.8,18.556356,73.973897,TW6120,42.0,8.041,483.1,25,0.038,0,normal
90083,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,10,20,2,flood,L3,44.6,2024-06-09 02:37:00,1,1,paid,2024-06-09 03:09:00,238.1,36.8,18.549392,73.784264,TW5202,198.0,16.112,895.5,48,0.0674,0,normal
90084,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,11,19,2,flood,L3,35.4,2024-06-15 10:21:00,1,1,paid,2024-06-15 12:54:00,671.2,302.4,18.575053,73.829262,TW8761,2.6,52.227,112.9,38,0.3555,0,abnormal_behavior
90085,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,12,18,2,flood,L3,4.0,2024-06-29 14:32:00,0,1,no_claim,,0.0,409.0,18.574429,73.954883,TW9714,84.2,30.107,1104.3,21,0.4501,0,abnormal_behavior
90086,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,13,17,2,rainfall,L2,20.6,2024-01-31 11:05:00,1,1,rejected,,0.0,130.5,18.439149,73.937013,TW2587,81.7,52.137,52.0,4,0.7399,1,abnormal_behavior
90087,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,14,16,2,road_closure,L2,34.3,2024-05-30 18:05:00,0,1,paid,2024-05-30 19:51:00,617.2,194.5,18.620809,73.967867,TW8590,13.9,32.749,182.7,13,0.01,0,normal
90088,6,20006,Standard,79,2024-01-01,2024-07-18,active,1,15,15,2,heat,L2,38.1,2024-07-11 04:13:00,0,1,no_claim,,0.0,326.5,18.499536,73.66773,TW2998,254.0,24.934,264.1,21,0.1065,0,normal
90089,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,1,29,3,rainfall,L2,6.1,2024-02-27 12:28:00,0,1,under_review,2024-02-27 14:41:00,313.4,555.9,26.8986,75.818159,TW4698,502.3,66.851,1054.6,24,0.642,1,device_anomaly
90090,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,2,28,3,heat,L2,40.9,2024-07-07 06:50:00,1,1,pending,,0.0,153.9,27.063145,75.834766,TW8642,515.1,78.515,445.1,20,0.4908,0,abnormal_behavior
90091,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,3,27,3,heat,L3,43.7,2024-02-08 04:49:00,0,1,pending,,0.0,206.3,26.901683,75.621156,TW1385,416.5,78.486,556.4,49,0.2671,0,abnormal_behavior
90092,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,4,26,3,aqi,L3,370.0,2024-01-27 18:55:00,0,1,paid,2024-01-27 21:10:00,1321.2,742.4,26.892378,75.693389,TW6644,443.4,54.4,818.2,48,0.5192,0,abnormal_behavior
90093,7,20007,Premium,129,2024-01-01,2024-07-18,expired,1,5,25,3,heat,L3,43.7,2024-05-03 00:20:00,0,1,no_claim,,0.0,415.0,26.924146,75.830953,TW4006,440.1,37.159,104.2,11,0.2956,0,normal
90094,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,6,24,3,rainfall,L2,9.6,2024-06-09 11:03:00,0,1,paid,2024-06-09 13:52:00,1020.0,140.0,26.890059,75.768645,TW9708,629.5,38.913,756.0,27,0.3843,0,normal
90095,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,7,23,3,rainfall,L2,6.6,2024-06-10 04:24:00,1,1,no_claim,,0.0,65.9,26.86883,75.86345,TW2182,371.6,5.182,861.9,31,0.1705,0,abnormal_behavior
90096,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,8,22,3,heat,L3,45.1,2024-04-29 12:10:00,1,1,paid,2024-04-29 15:10:00,1116.5,333.1,26.859384,75.715123,TW6630,626.9,5.929,1065.3,59,0.4071,0,normal
90097,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,9,21,3,aqi,L2,259.0,2024-05-09 09:19:00,1,1,no_claim,,0.0,113.3,26.838693,75.580652,TW2262,456.0,47.011,1066.7,32,0.2719,0,normal
90098,7,20007,Premium,129,2024-01-01,2024-07-18,expired,0,10,20,3,aqi,L2,283.0,2024-03-21 17:09:00,1,1,pending,,0.0,1168.4,26.876874,75.739548,TW5710,657.9,28.834,648.4,32,0.432,0,normal
90099,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,1,29,3,heat,L2,41.1,2024-02-25 07:52:00,1,1,paid,2024-02-25 08:58:00,670.6,301.2,13.182428,80.371921,TW8505,0.2,30.691,1179.6,15,0.5014,0,abnormal_behavior
90100,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,2,28,3,rainfall,L3,33.6,2024-05-23 10:49:00,1,1,paid,2024-05-23 11:58:00,636.0,231.9,12.999504,80.353695,TW6413,50.0,76.767,886.0,1,0.01,0,normal
90101,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,3,27,3,rainfall,L3,42.2,2024-01-28 15:58:00,1,1,paid,2024-01-28 18:51:00,758.8,477.5,13.04426,80.304508,TW5964,29.1,32.01,691.3,35,0.1813,0,normal
90102,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,4,26,3,flood,L3,26.6,2024-06-11 02:38:00,1,1,under_review,2024-06-11 05:20:00,158.7,114.1,12.934334,80.3294,TW9172,60.7,8.834,661.6,18,0.6927,1,device_anomaly
90103,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,5,25,3,heat,L2,40.9,2024-01-11 02:56:00,0,1,paid,2024-01-11 03:44:00,578.9,117.8,13.0448,80.173708,TW5000,18.9,6.799,153.1,41,0.1384,0,normal
90104,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,6,24,3,heat,L1,37.4,2024-02-02 10:36:00,1,1,paid,2024-02-02 12:02:00,621.5,202.9,12.894308,80.346056,TW5177,53.7,58.606,1181.0,58,0.0813,0,normal
90105,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,7,23,3,road_closure,L1,47.1,2024-05-27 05:25:00,0,1,under_review,2024-05-27 06:04:00,109.5,502.6,13.11245,80.170882,TW3349,37.2,29.673,433.2,44,0.7114,1,device_anomaly
90106,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,8,22,3,rainfall,L3,23.0,2024-06-15 09:25:00,0,1,pending,,0.0,115.1,13.272497,80.282297,TW6830,36.6,38.721,455.4,55,0.1009,0,normal
90107,8,20008,Standard,79,2024-01-01,2024-07-18,active,1,9,21,3,rainfall,L3,57.1,2024-01-27 16:31:00,1,1,no_claim,,0.0,204.7,13.1535,80.3136,TW1204,87.5,55.874,52.1,59,0.1876,0,normal
